EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1373.43155107	200.0	0.000953902	1.02038	0.510773748494	0.52800562534	239200
-1267.85007624	200.0	0.00126951	0.904986	0.509654362048	0.514615166872	241800
-1271.28466787	200.0	0.0020076	0.966338	0.422073143354	0.43307770408	244400
-1078.52927734	200.0	0.00651887	0.844328	0.380036422229	0.391615004623	247000
-1173.18960718	200.0	0.000218857	0.836077	0.420569607071	0.429710723195	249600
-1112.89306464	200.0	0.00343451	0.990213	0.386799409921	0.392983618851	252200
-1133.45630245	200.0	0.00193527	1.02287	0.511141972139	0.51469929732	254800
-1135.51528905	200.0	0.00108381	0.975891	0.509475999011	0.516988007514	257400
-1136.14905259	200.0	0.00377596	0.736239	0.490573395654	0.496341385735	260000
-1194.18360868	200.0	0.00101591	1.09171	0.473202711263	0.491811175994	262600
-1113.54138502	200.0	0.00126178	1.03249	0.394386346048	0.404383554969	265200
-1180.25816886	200.0	0.000432283	1.14363	0.504971490725	0.510848292445	267800
-1097.77833566	200.0	0.00156226	1.07767	0.426764318936	0.439084357277	270400
-1089.48929136	200.0	0.00184339	1.04904	0.461723250453	0.472604890814	273000
-1249.14487805	200.0	0.0010007	1.06018	0.480450233795	0.492984913437	275600
-1213.53617506	200.0	0.000499553	1.00621	0.301343001604	0.305492193859	278200
-1334.36446931	200.0	0.000423952	1.05008	0.387296493474	0.389556608863	280800
-1375.56035316	200.0	0.000660396	1.10848	0.362544417396	0.366112841545	283400
-1182.51066772	200.0	0.00104289	1.07016	0.457660150187	0.464933728812	286000
-1334.77735919	200.0	0.000781559	1.09725	0.294899296712	0.304756451444	288600
-1240.72254006	200.0	0.00269202	1.09776	0.249861094626	0.264860556921	291200
-1361.85181221	200.0	0.000529736	1.15711	0.288215967202	0.291735778879	293800
-1243.51985919	200.0	0.00571603	1.13299	0.219683691301	0.227245484905	296400
-1255.92074786	200.0	0.000746512	1.13684	0.30599177088	0.316763918691	299000
-1285.88457462	200.0	0.0013779	1.15581	0.376321136833	0.380491010324	301600
-1240.89965485	200.0	0.0108809	1.12026	0.357553158453	0.359480129212	304200
-1213.02466216	200.0	0.0143312	1.05958	0.235227027651	0.243289519512	306800
-1247.94890877	200.0	0.0088332	1.08575	0.299394539611	0.31012168268	309400
-1207.68610269	200.0	0.00366799	1.11679	0.377087935242	0.386739780151	312000
-1167.21370726	200.0	0.00740331	1.26916	0.420440526499	0.425415876554	314600
-1171.45599049	200.0	0.00147943	1.13621	0.357023423142	0.363871935386	317200
-1198.46658766	200.0	0.000494014	1.18106	0.208671721866	0.215513570797	319800
-1231.65002366	200.0	0.00251724	1.25455	0.390491697028	0.395668229793	322400
-1233.99842798	200.0	0.00385604	1.38491	0.398639378848	0.404167489773	325000
-1327.02414526	200.0	0.0067692	1.46894	0.441980764481	0.457104765856	327600
-1155.26095934	200.0	0.00877669	1.22654	0.324859414093	0.385920022331	330200
-1331.74376773	200.0	0.00259656	1.36608	0.459944138696	0.46877795494	332800
-1176.64618093	200.0	0.00349887	1.21799	0.441723611941	0.460452030516	335400
-1249.94401803	200.0	0.00233317	1.28577	0.510047328348	0.519971006882	338000
-1276.01039467	200.0	0.0014175	1.27242	0.43802436559	0.445695639468	340600
-1222.18821616	200.0	0.00132085	1.19174	0.484069956277	0.488014835277	343200
-1285.85945036	200.0	0.000479764	1.23591	0.344921345709	0.359243091608	345800
-1252.93924847	200.0	0.000585318	1.19895	0.375901905323	0.384708917519	348400
-1297.87142557	200.0	0.00169611	1.29231	0.401248035725	0.411953572004	351000
-1152.08492573	200.0	0.00280676	1.18677	0.302690850294	0.308827294402	353600
-1171.41750039	200.0	0.00158008	1.21633	0.414475449241	0.423497768587	356200
-1358.46012261	200.0	0.00095977	1.31762	0.477404968172	0.483038044768	358800
-1118.876145	200.0	0.00740193	1.27318	0.375517396231	0.39751225774	361400
-1220.91062986	200.0	0.00182605	1.33967	0.354181695124	0.364080712418	364000
